iter	Passed	Remaining
404	8870	100637
405	8891	100613
406	8913	100592
407	8935	100564
408	8956	100536
409	8978	100510
410	8998	100475
411	9023	100483
412	9044	100456
413	9065	100424
414	9086	100394
415	9110	100391
416	9134	100395
417	9157	100386
418	9179	100364
419	9200	100327
420	9220	100291
421	9241	100255
422	9262	100224
423	9284	100198
424	9305	100166
425	9327	100149
426	9351	100151
427	9372	100121
428	9395	100106
429	9418	100096
430	9439	100068
431	9461	100047
432	9485	100042
433	9506	100019
434	9529	100000
435	9549	99963
436	9570	99932
437	9592	99906
438	9615	99900
439	9636	99873
440	9657	99840
441	9679	99815
442	9700	99781
443	9721	99752
444	9743	99732
445	9764	99701
446	9785	99668
447	9807	99647
448	9829	99635
449	9854	99640
450	9877	99630
451	9898	99595
452	9920	99576
453	9942	99556
454	9964	99535
455	9986	99512
456	10007	99486
457	10032	99491
458	10053	99461
459	10076	99446
460	10099	99434
461	10123	99436
462	10147	99432
463	10169	99413
464	10190	99381
465	10210	99344
466	10230	99304
467	10251	99269
468	10272	99243
469	10294	99216
470	10316	99195
471	10340	99194
472	10361	99171
473	10383	99144
474	10403	99105
475	10425	99088
476	10446	99053
477	10467	99028
478	10488	98996
479	10510	98969
480	10530	98937
481	10554	98935
482	10577	98919
483	10598	98888
484	10622	98888
485	10647	98894
486	10669	98869
487	10691	98849
488	10713	98830
489	10734	98798
490	10754	98762
491	10775	98735
492	10796	98702
493	10818	98684
494	10841	98672
495	10863	98650
496	10884	98621
497	10907	98601
498	10927	98568
499	10948	98537
500	10968	98500
501	10991	98482
502	11011	98446
503	11036	98449
504	11056	98414
505	11077	98386
506	11099	98364
507	11122	98353
508	11147	98352
509	11168	98328
510	11190	98305
511	11211	98277
512	11232	98244
513	11252	98208
514	11273	98177
515	11294	98144
516	11316	98127
517	11338	98106
518	11360	98086
519	11381	98058
520	11404	98039
521	11424	98009
522	11446	97980
523	11467	97954
524	11487	97921
525	11508	97887
526	11530	97867
527	11551	97841
528	11574	97824
529	11596	97807
530	11621	97807
531	11646	97814
532	11673	97833
533	11701	97863
534	11733	97924
535	11762	97959
536	11792	98004
537	11814	97989
538	11840	97999
539	11865	98002
540	11886	97972
541	11907	97938
542	11927	97906
543	11949	97881
544	11970	97853
545	11991	97822
546	12013	97798
547	12039	97810
548	12062	97793
549	12085	97780
550	12106	97755
551	12129	97741
552	12153	97729
553	12174	97701
554	12194	97662
555	12214	97626
556	12235	97599
557	12255	97561
558	12276	97533
559	12298	97506
560	12320	97490
561	12343	97472
562	12364	97443
563	12385	97412
564	12405	97381
565	12427	97355
566	12449	97331
567	12469	97299
568	12490	97271
569	12512	97244
570	12534	97222
571	12555	97193
572	12576	97166
573	12600	97159
574	12624	97154
575	12646	97128
576	12668	97109
577	12689	97085
578	12710	97054
579	12731	97021
580	12752	96995
581	12774	96974
582	12798	96967
583	12820	96943
584	12842	96921
585	12864	96904
586	12885	96873
587	12906	96845
588	12928	96819
589	12948	96786
590	12969	96758
591	12991	96731
592	13012	96704
593	13036	96696
594	13058	96678
595	13082	96670
596	13104	96646
597	13129	96647
598	13152	96631
599	13173	96608
600	13195	96585
601	13216	96558
602	13238	96534
603	13259	96506
604	13281	96483
605	13303	96458
606	13326	96446
607	13348	96428
608	13370	96406
609	13393	96387
610	13415	96364
611	13437	96346
612	13459	96324
613	13480	96296
614	13501	96265
615	13523	96242
616	13544	96215
617	13568	96208
618	13591	96197
619	13614	96181
620	13636	96157
621	13658	96138
622	13679	96110
623	13701	96085
624	13723	96064
625	13745	96041
626	13766	96014
627	13789	95999
628	13814	95998
629	13836	95977
630	13859	95963
631	13883	95953
632	13904	95926
633	13925	95895
634	13946	95865
635	13969	95851
636	13992	95839
637	14013	95811
638	14035	95789
639	14057	95764
640	14079	95743
641	14101	95724
642	14124	95706
643	14147	95691
644	14169	95674
645	14191	95646
646	14212	95618
647	14233	95590
648	14253	95555
649	14274	95531
650	14296	95504
651	14319	95491
652	14342	95479
653	14364	95454
654	14386	95433
655	14408	95409
656	14430	95390
657	14451	95364
658	14473	95343
659	14495	95317
660	14517	95298
661	14538	95269
662	14562	95257
663	14584	95237
664	14606	95219
665	14632	95218
666	14654	95202
667	14678	95189
668	14701	95173
669	14723	95155
670	14745	95129
671	14768	95117
672	14792	95107
673	14814	95086
674	14837	95068
675	14859	95045
676	14880	95022
677	14903	95004
678	14926	94991
679	14948	94964
680	14969	94935
681	14991	94916
682	15013	94892
683	15034	94867
684	15061	94874
685	15083	94855
686	15105	94832
687	15127	94812
688	15150	94797
689	15172	94773
690	15194	94752
691	15215	94723
692	15236	94695
693	15259	94678
694	15281	94655
695	15303	94637
696	15326	94618
697	15348	94596
698	15370	94573
699	15392	94555
700	15414	94529
701	15436	94509
702	15457	94481
703	15478	94455
704	15499	94427
705	15520	94400
706	15542	94373
707	15564	94351
708	15586	94333
709	15608	94311
710	15631	94295
711	15678	94424
712	15723	94538
713	15751	94554
714	15774	94535
715	15799	94533
716	15824	94529
717	15846	94507
718	15867	94477
719	15889	94451
720	15909	94420
721	15930	94390
722	15950	94359
723	15972	94333
724	15993	94307
725	16015	94281
726	16036	94253
727	16063	94263
728	16086	94244
729	16107	94220
730	16130	94200
731	16153	94185
732	16176	94169
733	16198	94143
734	16219	94118
735	16240	94091
736	16261	94063
737	16283	94035
738	16305	94013
739	16327	93991
740	16348	93966
741	16369	93938
742	16391	93913
743	16413	93892
744	16435	93868
745	16457	93845
746	16478	93817
747	16499	93791
748	16521	93768
749	16541	93735
750	16563	93714
751	16587	93701
752	16611	93690
753	16636	93684
754	16659	93670
755	16681	93647
756	16703	93621
757	16724	93593
758	16746	93571
759	16767	93547
760	16789	93520
761	16811	93498
762	16833	93475
763	16855	93453
764	16876	93426
765	16898	93406
766	16920	93381
767	16943	93367
768	16967	93353
769	16989	93332
770	17011	93312
771	17035	93298
772	17068	93334
773	17091	93318
774	17113	93296
775	17135	93274
776	17159	93261
777	17181	93238
778	17202	93212
779	17223	93184
780	17243	93152
781	17265	93126
782	17286	93099
783	17309	93083
784	17334	93077
785	17355	93047
786	17376	93021
787	17399	93002
788	17421	92981
789	17444	92963
790	17465	92935
791	17486	92909
792	17508	92885
793	17529	92859
794	17551	92836
795	17574	92817
796	17596	92794
797	17618	92771
798	17644	92772
799	17668	92761
800	17693	92751
801	17717	92740
802	17739	92717
803	17761	92696
804	17785	92684
805	17808	92665
806	17831	92649
807	17869	92708
808	17903	92750
809	17927	92735
810	17956	92748
811	17978	92727
812	17999	92699
813	18021	92673
814	18043	92650
815	18074	92677
816	18098	92665
817	18123	92655
818	18147	92642
819	18172	92632
820	18195	92616
821	18216	92590
822	18238	92568
823	18261	92546
824	18282	92520
825	18304	92499
826	18329	92490
827	18351	92465
828	18372	92438
829	18393	92410
830	18414	92383
831	18435	92354
832	18457	92329
833	18479	92310
834	18502	92290
835	18524	92267
836	18547	92252
837	18571	92236
838	18594	92220
839	18617	92200
840	18640	92182
841	18666	92178
842	18713	92281
843	18754	92352
844	18786	92374
845	18809	92358
846	18834	92350
847	18856	92324
848	18878	92302
849	18901	92281
850	18923	92262
851	18948	92250
852	18971	92233
853	18994	92215
854	19016	92192
855	19039	92173
856	19063	92156
857	19092	92169
858	19116	92154
859	19138	92133
860	19163	92120
861	19185	92097
862	19209	92084
863	19231	92063
864	19255	92045
865	19277	92023
866	19301	92011
867	19324	91990
868	19351	91990
869	19376	91982
870	19398	91961
871	19420	91937
872	19441	91909
